"","date","Establishment","Region","Cases","Additional information","Student cases","Staff cases","Other cases","Outbreak","School Status"
"1","14/12/2021","ÉÉC Saint-Nicolas","Halton","Avis d’éclosion pour 1 classe émis par le BSP","Pas d’autre classe fermée, école ouverte","0","0","0","1","Open"
"2","14/12/2021","ÉÉC Saint-René-Goupil","Guelph","1 membre de la communauté testé positifÉlèves en isolement préventif","Pas de classe fermée, école ouverte","0","0","1","0","Open"
"3","14/12/2021","ÉÉC Saint-Jean (Aurora)","York","1 autre élève déjà en isolement ","1 classe fermée, école ouverte","1","0","0","0","Open"
"4","14/12/2021","ÉÉC Notre-Dame-de-la-Jeunesse (Ajax)","Durham","Avis d’éclosion pour 1classe  et 1 autobus émis par le BSP","Pas d’autre classe fermée, école ouverte","0","0","0","1","Open"
"5","14/12/2021","ÉÉC Sainte-Marie","Halton","1 autre élève testé positif","1 autre classe fermée, école ouverte","1","0","0","0","Open"
"6","13/12/2021","ÉSC Renaissance","York","1 élève testé positif","2 classes affectées, école ouverte","1","0","0","0","Open"
"7","13/12/2021","ÉÉC Monseigneur-de-Laval","Hamilton","1 élève testé positif non présent durant sa période de contagion","Pas de classe fermée, école ouverte","1","0","0","0","Open"
"8","13/12/2021","ÉÉC Sainte-Marie","Halton","1 élève testé positif","1 classe fermée, école ouverte","1","0","0","0","Open"
"9","13/12/2021","ÉÉC Sainte-Marguerite-Bourgeoys (Brantford)","Brant","2 élèves testés positifs","Pas de classe fermée, école ouverte","2","0","0","0","Open"
"10","13/12/2021","Garderie Le ballon rouge[ÉÉC Sainte-Marguerite-Bourgeoys -Brantford]","Brant","1 membre du personnel testé positif","Programme de garde avant et après l’école fermé 24 h, école ouverte","0","1","0","0","Open"
"11","12/12/2021","ÉÉC Cardinal-Léger","Waterloo","1 élève testé positif","1 classe fermée, école ouverte ","1","0","0","0","Open"
"12","12/12/2021","ÉSC Saint-Frère-André","Toronto","1 membre de la communauté testé positif, élèves en isolement","École ouverte","0","0","1","0","Open"
"13","12/12/2021","ÉÉC Saint-Nicolas","Halton","1 élève déjà en isolement testé positif","Pas d’autre classe fermée, école ouverte","1","0","0","0","Open"
"14","12/12/2021","ÉÉC Notre-Dame-de-la-Jeunesse (Ajax)","Durham","1 élève déjà en isolement testé positif","Pas d’autre classe fermée, école ouverte","1","0","0","0","Open"
"15","12/12/2021","ÉSC Monseigneur-de-Charbonnel","Toronto","1 élève testé positif","1 classe affectée, école ouverte","1","0","0","0","Open"
"16","12/12/2021","ÉÉC Saint-Jean (Aurora)","York","2 autres élèves déjà en isolement testés positifs","Pas d’autre classe fermée, école ouverte","2","0","0","0","Open"
"17","10/12/2021","ÉÉC du Sacré-Cœur (Georgetown)","Halton","1 élève testé positif","1 classe fermée, école ouverte","1","0","0","0","Open"
"18","10/12/2021","ÉÉC Saint-Jean-de-LalandeGarderie Mon petit jardin","Toronto","1 enfant testé positif","1 groupe fermé, école ouverte","1","0","0","0","Open"
"19","10/12/2021","ÉÉC Sainte-Anne","Halton","1 élève testé positif","1 classe fermée, école ouverte","1","0","0","0","Open"
"20","10/12/2021","ÉÉC Saint-Jean (Aurora)","York","1 autre élève déjà en isolement et 1 membre du personnel testés positifs","1 autre classe fermée, école ouverte","1","1","0","0","Open"
"21","09/12/2021","ÉSC Saint-Charles-Garnier","Durham","1 élève testé positif","1 classe affectée, école ouverte","1","0","0","0","Open"
"22","09/12/2021","ÉSC Père-Philippe-Lamarche","Toronto","Avis d’éclosion émis par le BSP","École ouverte","0","0","0","1","Open"
"23","09/12/2021","ÉSC Sainte-Famille","Peel","2 élèves testés positifs","6 classes affectées, école ouverte","2","0","0","0","Open"
"24","09/12/2021","ÉÉC Notre-Dame-de-la-Jeunesse (Ajax)","Durham","3 élèves testés positifs","3 classes fermées, école ouverte","3","0","0","0","Open"
"25","09/12/2021","ÉÉC Saint-Jean (Aurora)","York","1 autre élève testé positif","Pas d’autre classe fermée, école ouverte","1","0","0","0","Open"
"26","08/12/2021","ÉÉC Frère-André","Simcoe-Muskoka","2 élèves testés positifs, dont 1 déjà en isolement","1 classe fermée, école ouverte","2","0","0","0","Open"
"27","08/12/2021","ÉÉC Notre-Dame","Hamilton","1 membre du personnel testé positif  ","Pas de classe fermée, école ouverte","0","1","0","0","Open"
"28","08/12/2021","ÉÉC Saint-Jean (Aurora)","York","1 autre élève testé positif","1 autre classe fermée, école ouverte","1","0","0","0","Open"
"29","08/12/2021","ÉÉC Corpus-Christi","Durham","1 autre élève testé positif","École fermée","1","0","0","0","Closed"
"30","07/12/2021","ÉÉC Corpus-Christi","Durham","1 autre élève testé positif","École fermée","1","0","0","0","Closed"
"31","07/12/2021","ÉÉC Saint-Nicolas","Halton","1 élève déjà en isolement testé positif","Pas d’autre classe fermée, école ouverte","1","0","0","0","Open"
